time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0
2,2,0,0,0,0,0,0
3,2,9,9,18,1707,2537,4244
4,46,0,0,0,0,0,0
5,2,0,0,0,0,0,0
6,1,0,0,0,0,0,0
7,11,0,0,0,0,0,0
8,28,0,0,0,0,0,0
9,3,0,0,0,0,0,0
11,3,0,0,0,0,0,0
12,2,0,0,0,0,0,0
13,0,26,25,51,5106,4606,9712
14,3,14,17,31,2724,8527,11251
15,2,5,5,10,2716,0,2716
16,2,5,5,10,39,1166,1205
17,0,3,3,6,1717,0,1717
18,0,6,6,12,39,2276,2315
19,4,3,3,6,1557,0,1557
20,3,5,5,10,39,1273,1312
21,0,3,3,6,1557,0,1557
22,1,3,5,8,39,1436,1475
23,3,3,3,6,1717,0,1717
24,0,5,5,10,39,1441,1480
25,14,3,3,6,1557,0,1557
26,0,5,5,10,39,1409,1448
27,2,0,0,0,0,0,0
28,0,35,45,80,6171,44354,50525
29,2,0,0,0,0,0,0
30,0,7,8,15,1564,1235,2799
31,2,0,0,0,0,0,0
32,1,8,8,16,1756,1040,2796
33,2,0,0,0,0,0,0
34,2,8,8,16,1596,1725,3321
36,1,7,8,15,1588,1747,3335
37,3,0,0,0,0,0,0
38,0,7,8,15,1708,2516,4224
39,2,56,436,492,3148,603771,606919
40,0,4,8,12,39,2829,2868
41,1,0,0,0,0,0,0
42,0,11,9,20,1595,3154,4749
43,0,3,5,8,39,124,163
44,0,9,9,18,1588,3799,5387
46,2,10,9,19,1804,4360,6164
48,1,9,10,19,1588,5397,6985
49,1,0,0,0,0,0,0
50,14,8,8,16,1516,1875,3391
51,17,0,0,0,0,0,0
52,4,8,8,16,1780,2608,4388
53,5,0,0,0,0,0,0
54,6,10,9,19,1588,3124,4712
55,2,0,0,0,0,0,0
56,5,11,11,22,3401,1941,5342
57,1,22,33,55,39,43596,43635
58,2,8,9,17,1739,2533,4272
60,0,17,18,35,3384,6930,10314
62,2,7,8,15,1756,2149,3905
63,4,10,8,18,1580,3179,4759
64,0,0,1,1,0,0,0
65,1,7,7,14,1812,2256,4068
66,0,0,1,1,0,0,0
67,2,4,4,8,1508,0,1508
68,0,17,15,32,1619,6284,7903
69,18,0,0,0,0,0,0
70,11,8,9,17,1619,1972,3591
72,0,4,4,8,1732,0,1732
73,0,4,6,10,39,2552,2591
74,10,16,14,30,1828,3555,5383
75,4,5,6,11,1545,419,1964
76,4,9,10,19,1604,5059,6663
78,0,3,3,6,1613,0,1613
79,4,4,5,9,39,2054,2093
80,0,28,40,68,3537,43921,47458
81,0,9,15,24,1555,5933,7488
82,1,0,0,0,0,0,0
83,0,8,9,17,1588,2365,3953
84,2,0,0,0,0,0,0
85,0,8,9,17,1588,3238,4826
87,0,9,9,18,1780,4056,5836
88,2,0,0,0,0,0,0
89,0,9,10,19,1620,5266,6886
90,4,0,0,0,0,0,0
91,0,9,10,19,1588,6083,7671
93,0,7,8,15,1780,2801,4581
95,0,15,15,30,2944,5616,8560
96,2,24,518,542,181,729155,729336
97,2,103,456,559,3648,619733,623381
99,0,8,10,18,3006,3503,6509
100,2,0,0,0,0,0,0
101,0,8,9,17,1812,4392,6204
102,0,10,11,21,1516,5283,6799
104,0,9,9,18,1548,2341,3889
105,1,0,0,0,0,0,0
106,1,8,9,17,1620,2954,4574
108,0,9,9,18,1812,3758,5570
109,3,0,0,0,0,0,0
110,0,3,8,11,1477,4781,6258
111,0,11,6,17,1660,665,2325
112,0,22,43,65,1659,48531,50190
113,1,0,0,0,0,0,0
114,0,9,9,18,1780,3014,4794
116,0,9,9,18,1556,3797,5353
117,2,0,0,0,0,0,0
118,2,7,9,16,1652,3404,5056
120,0,9,9,18,1716,4912,6628
121,2,0,0,0,0,0,0
122,1,10,12,22,1811,5784,7595
124,0,10,11,21,1556,7030,8586
126,0,9,10,19,3006,3048,6054
128,0,8,10,18,1843,3854,5697
130,2,8,9,17,1652,4617,6269
131,1,0,0,0,0,0,0
132,0,10,9,19,1620,4998,6618
134,0,8,11,19,1652,5989,7641
135,0,3,2,5,0,0,0
136,4,29,27,56,4216,10329,14545
137,0,1,1,2,0,169,169
138,2,9,11,20,1516,6816,8332
139,3,0,0,0,0,0,0
140,2,10,12,22,3296,1372,4668
141,4,23,33,56,39,43865,43904
142,2,8,8,16,1756,1397,3153
144,0,8,8,16,1604,1371,2975
146,1,3,3,6,1621,0,1621
147,3,6,6,12,39,1917,1956
148,1,4,4,8,1612,0,1612
149,0,4,5,9,39,2354,2393
150,1,3,1,4,1741,0,1741
151,2,5,8,13,39,3089,3128
152,3,15,16,31,3136,4519,7655
154,1,7,9,16,1588,1895,3483
156,1,10,9,19,1740,2918,4658
158,0,9,9,18,1588,4119,5707
159,3,0,0,0,0,0,0
160,2,8,9,17,1644,5198,6842
162,0,9,10,19,1588,5793,7381
163,2,0,0,0,0,0,0
164,9,27,25,52,2295,6890,9185
165,62,0,0,0,0,0,0
166,119,9,11,20,1724,7161,8885
167,1,0,0,0,0,0,0
168,0,11,11,22,1588,7449,9037
169,4,0,0,0,0,0,0
170,0,7,8,15,1756,1224,2980
171,0,22,36,58,1660,43707,45367
172,20,5,8,13,1540,1275,2815
174,0,5,8,13,1564,1183,2747
175,1,0,0,0,0,0,0
176,0,7,8,15,1596,1377,2973
178,0,6,8,14,1756,1228,2984
180,2,7,9,16,1627,1293,2920
181,2,0,0,0,0,0,0
182,0,8,8,16,1596,2535,4131
184,3,7,8,15,1868,2711,4579
186,0,8,9,17,1604,3441,5045
188,0,10,10,20,1580,5318,6898
190,0,8,10,18,1684,3664,5348
192,0,11,11,22,3158,4130,7288
193,3,0,0,0,0,0,0
194,0,11,11,22,1604,6490,8094
196,22,13,12,25,1676,6830,8506
197,12,2,3,5,0,0,0
198,4,20,19,39,3581,9228,12809
199,0,1,2,3,0,169,169
200,0,9,9,18,1556,3565,5121
201,6,25,36,61,1660,43360,45020
202,3,5,9,14,1620,3677,5297
203,4,0,0,0,0,0,0
204,1,18,19,37,4796,2647,7443
205,4,13,14,27,1563,3984,5547
207,3,7,7,14,1508,2514,4022
208,1,0,0,0,0,0,0
209,2,2,2,4,1381,0,1381
210,0,18,18,36,1459,15779,17238
212,2,0,0,0,0,0,0
214,3,0,0,0,0,0,0
215,1,14,12,26,3161,9723,12884
216,0,9,10,19,39,5995,6034
217,1,0,0,0,0,0,0
218,0,8,10,18,2532,1288,3820
220,0,8,9,17,1787,1270,3057
222,2,10,9,19,1596,5090,6686
223,2,0,0,0,0,0,0
224,0,7,7,14,7877,0,7877
225,0,3,5,8,39,700,739
226,2,0,0,0,0,0,0
229,1,0,0,0,0,0,0
230,1,0,0,0,0,0,0
231,1,3,3,6,1885,0,1885
232,26,24,41,65,39,44474,44513
233,17,0,0,0,0,0,0
234,1,0,0,0,0,0,0
235,3,0,0,0,0,0,0
237,1,0,0,0,0,0,0
238,5,0,0,0,0,0,0
242,3,0,0,0,0,0,0
244,2,0,0,0,0,0,0
245,2,0,0,0,0,0,0
248,2,0,0,0,0,0,0
250,0,3,3,6,457,80,537
251,1,0,0,0,0,0,0
256,0,7,8,15,2036,721,2757
257,5,0,0,0,0,0,0
258,1,0,0,0,0,0,0
259,2,3,2,5,0,0,0
260,0,11,10,21,2153,566,2719
264,4,0,0,0,0,0,0
265,4,0,0,0,0,0,0
266,4,0,0,0,0,0,0
267,0,10,11,21,2004,6237,8241
268,1,0,0,0,0,0,0
269,2,0,0,0,0,0,0
270,2,0,0,0,0,0,0
275,0,8,8,16,3270,2119,5389
276,1,0,1,1,0,0,0
278,3,0,0,0,0,0,0
279,1,0,0,0,0,0,0
280,10,0,0,0,0,0,0
281,28,0,0,0,0,0,0
282,1,0,0,0,0,0,0
283,1,0,0,0,0,0,0
284,0,16,14,30,1978,6041,8019
285,1,0,0,0,0,0,0
286,3,0,0,0,0,0,0
287,3,0,0,0,0,0,0
288,0,7,8,15,1820,1269,3089
289,2,0,0,0,0,0,0
290,2,0,0,0,0,0,0
294,1,0,0,0,0,0,0
295,1,0,0,0,0,0,0
299,2,9,10,19,1868,5245,7113
300,1,0,0,0,0,0,0
302,1,0,0,0,0,0,0
303,0,6,8,14,1692,991,2683
304,2,0,0,0,0,0,0
305,2,0,0,0,0,0,0
307,2,0,0,0,0,0,0
308,2,0,0,0,0,0,0
311,2,0,0,0,0,0,0
312,10,0,0,0,0,0,0
313,22,0,0,0,0,0,0
314,4,3,0,3,1861,0,1861
315,7,8,10,18,1457,6078,7535
316,5,0,0,0,0,0,0
317,3,0,0,0,0,0,0
318,4,3,3,6,1725,0,1725
319,0,4,5,9,39,1233,1272
320,23,2,2,4,0,0,0
321,25,6,5,11,560,147,707
322,59,17,19,36,4256,4837,9093
323,26,0,0,0,0,0,0
324,57,0,0,0,0,0,0
325,10,0,0,0,0,0,0
327,1,0,0,0,0,0,0
328,3,0,0,0,0,0,0
329,5,0,0,0,0,0,0
332,2,0,0,0,0,0,0
337,1,0,0,0,0,0,0
341,2,0,0,0,0,0,0
342,0,32,40,72,3710,48080,51790
343,0,0,1,1,0,0,0
344,2,0,0,0,0,0,0
345,0,55,81,136,5308,75449,80757
346,10,49,131,180,39,184145,184184
347,223,0,0,0,0,0,0
348,26,0,0,0,0,0,0
349,15,0,0,0,0,0,0
350,2,0,0,0,0,0,0
353,98,0,0,0,0,0,0
362,3,0,0,0,0,0,0
364,1,0,0,0,0,0,0
367,1,0,0,0,0,0,0
370,2,0,0,0,0,0,0
371,3,0,0,0,0,0,0
372,0,23,42,65,2956,47227,50183
373,0,0,1,1,0,0,0
374,2,0,0,0,0,0,0
375,0,41,58,99,1547,67649,69196
376,0,48,132,180,39,183848,183887
377,2,0,0,0,0,0,0
380,1,0,0,0,0,0,0
382,0,3,3,6,0,0,0
383,2,12,10,22,2116,3801,5917
384,0,1,3,4,0,169,169
387,2,0,0,0,0,0,0
388,1,0,0,0,0,0,0
391,2,0,0,0,0,0,0
392,2,0,0,0,0,0,0
395,2,0,0,0,0,0,0
396,1,0,0,0,0,0,0
aggregate,1477,10087,3466,13553,267658,3352052,3619710
average,3.7298,25.4722,8.75253,34.2247,675.904,8464.78,9140.68
